Week of Collection Date,variant_table,WHO Label,Count of Accession Id,% of Total Count of variants.sas7bdat
"June 13, 2021",B.1.617.1,Kappa,1,0.684931507%
"April 25, 2021",B.1.617.1,Kappa,1,0.423728814%
"August 22, 2021",B.1.617,N/A,1,0.247524752%
"April 25, 2021",B.1.617,N/A,2,0.847457627%
"April 18, 2021",B.1.617,N/A,6,3.529411765%
"April 25, 2021",B.1.617.3,N/A,1,0.423728814%
"November 28, 2021",B.1.617.2,Delta,14,100%
"November 21, 2021",B.1.617.2,Delta,32,100%
"November 14, 2021",B.1.617.2,Delta,252,100%
"November 7, 2021",B.1.617.2,Delta,464,99.570815451%
"October 31, 2021",B.1.617.2,Delta,460,98.290598291%
"October 24, 2021",B.1.617.2,Delta,382,99.479166667%
"October 17, 2021",B.1.617.2,Delta,377,97.416020672%
"October 10, 2021",B.1.617.2,Delta,258,97.727272727%
"October 3, 2021",B.1.617.2,Delta,255,98.837209302%
"September 26, 2021",B.1.617.2,Delta,425,98.837209302%
"September 19, 2021",B.1.617.2,Delta,379,99.736842105%
"September 12, 2021",B.1.617.2,Delta,464,99.785407725%
"September 5, 2021",B.1.617.2,Delta,425,99.299065421%
"August 29, 2021",B.1.617.2,Delta,467,99.361702128%
"August 22, 2021",B.1.617.2,Delta,400,99.504950495%
"August 15, 2021",B.1.617.2,Delta,422,100%
"August 8, 2021",B.1.617.2,Delta,431,99.084668192%
"August 1, 2021",B.1.617.2,Delta,444,99.336283186%
"July 25, 2021",B.1.617.2,Delta,356,99.445983380%
"July 18, 2021",B.1.617.2,Delta,429,98.398169336%
"July 11, 2021",B.1.617.2,Delta,548,97.508896797%
"July 4, 2021",B.1.617.2,Delta,415,94.748858447%
"June 27, 2021",B.1.617.2,Delta,262,91.929824561%
"June 20, 2021",B.1.617.2,Delta,167,79.904306220%
"June 13, 2021",B.1.617.2,Delta,105,72.602739726%
"June 6, 2021",B.1.617.2,Delta,65,51.181102362%
"May 30, 2021",B.1.617.2,Delta,39,38.613861386%
"May 23, 2021",B.1.617.2,Delta,22,21.359223301%
"May 16, 2021",B.1.617.2,Delta,13,6.806282723%
"May 9, 2021",B.1.617.2,Delta,7,4.375%
"May 2, 2021",B.1.617.2,Delta,3,1.363636364%
"April 25, 2021",B.1.617.2,Delta,1,0.423728814%
"January 10, 2021",B.1.617.2,Delta,1,1.25%
"May 23, 2021",B.1.525,Eta,1,0.970873786%
"April 4, 2021",B.1.525,Eta,1,0.813008130%
"January 3, 2021",P.2,Zeta,1,0.714285714%
"June 27, 2021",B.1.526,Iota,1,0.350877193%
"May 23, 2021",B.1.526,Iota,2,1.941747573%
"May 16, 2021",B.1.526,Iota,4,2.094240838%
"May 9, 2021",B.1.526,Iota,1,0.625%
"May 2, 2021",B.1.526,Iota,2,0.909090909%
"April 25, 2021",B.1.526,Iota,3,1.271186441%
"April 18, 2021",B.1.526,Iota,7,4.117647059%
"April 11, 2021",B.1.526,Iota,5,4.761904762%
"April 4, 2021",B.1.526,Iota,10,8.130081301%
"March 28, 2021",B.1.526,Iota,3,3.092783505%
"August 1, 2021",P.1,Gamma,1,0.221238938%
"July 25, 2021",P.1,Gamma,1,0.277008310%
"July 18, 2021",P.1,Gamma,3,0.686498856%
"July 4, 2021",P.1,Gamma,4,0.913242009%
"June 27, 2021",P.1,Gamma,3,1.052631579%
"June 20, 2021",P.1,Gamma,13,6.220095694%
"June 13, 2021",P.1,Gamma,10,6.849315068%
"June 6, 2021",P.1,Gamma,15,11.811023622%
"May 30, 2021",P.1,Gamma,4,3.960396040%
"May 23, 2021",P.1,Gamma,11,10.679611650%
"May 16, 2021",P.1,Gamma,42,21.989528796%
"May 9, 2021",P.1,Gamma,32,20%
"May 2, 2021",P.1,Gamma,49,22.272727273%
"April 25, 2021",P.1,Gamma,52,22.033898305%
"April 18, 2021",P.1,Gamma,25,14.705882353%
"April 11, 2021",P.1,Gamma,14,13.333333333%
"April 4, 2021",P.1,Gamma,9,7.317073171%
"March 28, 2021",P.1,Gamma,1,1.030927835%
"May 16, 2021",B.1.427,Epsilon,1,0.523560209%
"April 25, 2021",B.1.427,Epsilon,1,0.423728814%
"April 4, 2021",B.1.427,Epsilon,2,1.626016260%
"March 21, 2021",B.1.427,Epsilon,1,1.351351351%
"January 31, 2021",B.1.427,Epsilon,2,1.111111111%
"January 24, 2021",B.1.427,Epsilon,1,0.709219858%
"January 17, 2021",B.1.427,Epsilon,2,1.503759398%
"January 10, 2021",B.1.427,Epsilon,1,1.25%
"May 23, 2021",B.1.351,Beta,2,1.941747573%
"May 2, 2021",B.1.351,Beta,1,0.454545455%
"April 18, 2021",B.1.351,Beta,1,0.588235294%
"March 28, 2021",B.1.351,Beta,2,2.061855670%
"March 21, 2021",B.1.351,Beta,2,2.702702703%
"June 20, 2021",B.1.429,Epsilon,2,0.956937799%
"May 16, 2021",B.1.429,Epsilon,1,0.523560209%
"May 2, 2021",B.1.429,Epsilon,4,1.818181818%
"April 25, 2021",B.1.429,Epsilon,2,0.847457627%
"April 18, 2021",B.1.429,Epsilon,1,0.588235294%
"April 11, 2021",B.1.429,Epsilon,3,2.857142857%
"April 4, 2021",B.1.429,Epsilon,9,7.317073171%
"March 28, 2021",B.1.429,Epsilon,1,1.030927835%
"March 21, 2021",B.1.429,Epsilon,3,4.054054054%
"March 14, 2021",B.1.429,Epsilon,4,5.555555556%
"March 7, 2021",B.1.429,Epsilon,3,6.122448980%
"February 28, 2021",B.1.429,Epsilon,5,11.111111111%
"February 21, 2021",B.1.429,Epsilon,2,12.5%
"February 14, 2021",B.1.429,Epsilon,7,8.433734940%
"February 7, 2021",B.1.429,Epsilon,3,2.830188679%
"January 31, 2021",B.1.429,Epsilon,6,3.333333333%
"January 24, 2021",B.1.429,Epsilon,1,0.709219858%
"January 17, 2021",B.1.429,Epsilon,3,2.255639098%
"January 10, 2021",B.1.429,Epsilon,1,1.25%
"January 3, 2021",B.1.429,Epsilon,1,0.714285714%
"August 22, 2021",B.1.1.7,Alpha,1,0.247524752%
"August 8, 2021",B.1.1.7,Alpha,3,0.686498856%
"July 25, 2021",B.1.1.7,Alpha,1,0.277008310%
"July 18, 2021",B.1.1.7,Alpha,2,0.457665904%
"July 11, 2021",B.1.1.7,Alpha,8,1.423487544%
"July 4, 2021",B.1.1.7,Alpha,8,1.826484018%
"June 27, 2021",B.1.1.7,Alpha,17,5.964912281%
"June 20, 2021",B.1.1.7,Alpha,21,10.047846890%
"June 13, 2021",B.1.1.7,Alpha,24,16.438356164%
"June 6, 2021",B.1.1.7,Alpha,41,32.283464567%
"May 30, 2021",B.1.1.7,Alpha,47,47.524752475%
"May 23, 2021",B.1.1.7,Alpha,51,49.514563107%
"May 16, 2021",B.1.1.7,Alpha,114,59.685863874%
"May 9, 2021",B.1.1.7,Alpha,110,68.75%
"May 2, 2021",B.1.1.7,Alpha,141,64.090909091%
"April 25, 2021",B.1.1.7,Alpha,153,64.830508475%
"April 18, 2021",B.1.1.7,Alpha,115,67.647058824%
"April 11, 2021",B.1.1.7,Alpha,75,71.428571429%
"April 4, 2021",B.1.1.7,Alpha,83,67.479674797%
"March 28, 2021",B.1.1.7,Alpha,72,74.226804124%
"March 21, 2021",B.1.1.7,Alpha,35,47.297297297%
"March 14, 2021",B.1.1.7,Alpha,22,30.555555556%
"March 7, 2021",B.1.1.7,Alpha,20,40.816326531%
"February 28, 2021",B.1.1.7,Alpha,3,6.666666667%
"February 21, 2021",B.1.1.7,Alpha,3,18.75%
"February 7, 2021",B.1.1.7,Alpha,1,0.943396226%
"November 7, 2021",Other,N/A,2,0.429184549%
"October 31, 2021",Other,N/A,8,1.709401709%
"October 24, 2021",Other,N/A,2,0.520833333%
"October 17, 2021",Other,N/A,9,2.325581395%
"October 10, 2021",Other,N/A,5,1.893939394%
"October 3, 2021",Other,N/A,3,1.162790698%
"September 26, 2021",Other,N/A,4,0.930232558%
"September 19, 2021",Other,N/A,1,0.263157895%
"September 12, 2021",Other,N/A,1,0.214592275%
"September 5, 2021",Other,N/A,3,0.700934579%
"August 29, 2021",Other,N/A,3,0.638297872%
"August 1, 2021",Other,N/A,2,0.442477876%
"July 18, 2021",Other,N/A,2,0.457665904%
"July 11, 2021",Other,N/A,4,0.711743772%
"July 4, 2021",Other,N/A,6,1.369863014%
"June 20, 2021",Other,N/A,2,0.956937799%
"June 13, 2021",Other,N/A,4,2.739726027%
"June 6, 2021",Other,N/A,6,4.724409449%
"May 30, 2021",Other,N/A,6,5.940594059%
"May 23, 2021",Other,N/A,8,7.766990291%
"May 16, 2021",Other,N/A,11,5.759162304%
"May 9, 2021",Other,N/A,4,2.5%
"May 2, 2021",Other,N/A,12,5.454545455%
"April 25, 2021",Other,N/A,5,2.118644068%
"April 18, 2021",Other,N/A,5,2.941176471%
"April 11, 2021",Other,N/A,2,1.904761905%
"April 4, 2021",Other,N/A,1,0.813008130%
"March 28, 2021",Other,N/A,3,3.092783505%
"March 21, 2021",Other,N/A,4,5.405405405%
"March 14, 2021",Other,N/A,15,20.833333333%
"March 7, 2021",Other,N/A,2,4.081632653%
"February 28, 2021",Other,N/A,7,15.555555556%
"February 21, 2021",Other,N/A,1,6.25%
"February 14, 2021",Other,N/A,42,50.602409639%
"February 7, 2021",Other,N/A,68,64.150943396%
"January 31, 2021",Other,N/A,115,63.888888889%
"January 24, 2021",Other,N/A,72,51.063829787%
"January 17, 2021",Other,N/A,72,54.135338346%
"January 10, 2021",Other,N/A,37,46.25%
"January 3, 2021",Other,N/A,50,35.714285714%
"June 13, 2021",B.1.526.2,N/A,1,0.684931507%
"May 23, 2021",B.1.526.2,N/A,1,0.970873786%
"May 9, 2021",B.1.526.2,N/A,4,2.5%
"May 2, 2021",B.1.526.2,N/A,3,1.363636364%
"April 25, 2021",B.1.526.2,N/A,6,2.542372881%
"April 18, 2021",B.1.526.2,N/A,3,1.764705882%
"April 11, 2021",B.1.526.2,N/A,1,0.952380952%
"April 4, 2021",B.1.526.2,N/A,1,0.813008130%
"March 21, 2021",B.1.526.2,N/A,1,1.351351351%
"October 17, 2021",B.1,N/A,1,0.258397933%
"October 10, 2021",B.1,N/A,1,0.378787879%
"September 26, 2021",B.1,N/A,1,0.232558140%
"August 8, 2021",B.1,N/A,1,0.228832952%
"July 11, 2021",B.1,N/A,2,0.355871886%
"July 4, 2021",B.1,N/A,5,1.141552511%
"June 27, 2021",B.1,N/A,2,0.701754386%
"June 20, 2021",B.1,N/A,4,1.913875598%
"May 30, 2021",B.1,N/A,3,2.970297030%
"May 23, 2021",B.1,N/A,2,1.941747573%
"May 9, 2021",B.1,N/A,1,0.625%
"May 2, 2021",B.1,N/A,2,0.909090909%
"April 25, 2021",B.1,N/A,2,0.847457627%
"April 18, 2021",B.1,N/A,2,1.176470588%
"April 11, 2021",B.1,N/A,1,0.952380952%
"April 4, 2021",B.1,N/A,2,1.626016260%
"March 28, 2021",B.1,N/A,1,1.030927835%
"March 21, 2021",B.1,N/A,3,4.054054054%
"March 7, 2021",B.1,N/A,1,2.040816327%
"February 28, 2021",B.1,N/A,1,2.222222222%
"February 14, 2021",B.1,N/A,2,2.409638554%
"February 7, 2021",B.1,N/A,3,2.830188679%
"January 31, 2021",B.1,N/A,3,1.666666667%
"January 24, 2021",B.1,N/A,5,3.546099291%
"January 17, 2021",B.1,N/A,5,3.759398496%
"January 10, 2021",B.1,N/A,4,5%
"January 3, 2021",B.1,N/A,5,3.571428571%
"May 30, 2021",B.1.1.519,N/A,1,0.990099010%
"May 23, 2021",B.1.1.519,N/A,2,1.941747573%
"May 16, 2021",B.1.1.519,N/A,5,2.617801047%
"May 9, 2021",B.1.1.519,N/A,1,0.625%
"May 2, 2021",B.1.1.519,N/A,3,1.363636364%
"April 25, 2021",B.1.1.519,N/A,4,1.694915254%
"April 18, 2021",B.1.1.519,N/A,2,1.176470588%
"April 11, 2021",B.1.1.519,N/A,2,1.904761905%
"April 4, 2021",B.1.1.519,N/A,3,2.439024390%
"March 28, 2021",B.1.1.519,N/A,6,6.185567010%
"March 21, 2021",B.1.1.519,N/A,14,18.918918919%
"March 14, 2021",B.1.1.519,N/A,13,18.055555556%
"March 7, 2021",B.1.1.519,N/A,7,14.285714286%
"February 28, 2021",B.1.1.519,N/A,4,8.888888889%
"February 14, 2021",B.1.1.519,N/A,2,2.409638554%
"February 7, 2021",B.1.1.519,N/A,5,4.716981132%
"January 31, 2021",B.1.1.519,N/A,9,5%
"January 24, 2021",B.1.1.519,N/A,9,6.382978723%
"January 17, 2021",B.1.1.519,N/A,4,3.007518797%
"January 10, 2021",B.1.1.519,N/A,3,3.75%
"April 4, 2021",B.1.596,N/A,1,0.813008130%
"March 28, 2021",B.1.596,N/A,1,1.030927835%
"March 21, 2021",B.1.596,N/A,3,4.054054054%
"February 21, 2021",B.1.596,N/A,3,18.75%
"February 7, 2021",B.1.596,N/A,7,6.603773585%
"January 31, 2021",B.1.596,N/A,7,3.888888889%
"January 24, 2021",B.1.596,N/A,8,5.673758865%
"January 17, 2021",B.1.596,N/A,5,3.759398496%
"January 10, 2021",B.1.596,N/A,6,7.5%
"January 3, 2021",B.1.596,N/A,9,6.428571429%
"May 23, 2021",B.1.2,N/A,1,0.970873786%
"April 25, 2021",B.1.2,N/A,3,1.271186441%
"April 18, 2021",B.1.2,N/A,3,1.764705882%
"April 11, 2021",B.1.2,N/A,2,1.904761905%
"April 4, 2021",B.1.2,N/A,1,0.813008130%
"March 28, 2021",B.1.2,N/A,7,7.216494845%
"March 21, 2021",B.1.2,N/A,8,10.810810811%
"March 14, 2021",B.1.2,N/A,18,25%
"March 7, 2021",B.1.2,N/A,16,32.653061224%
"February 28, 2021",B.1.2,N/A,25,55.555555556%
"February 21, 2021",B.1.2,N/A,7,43.75%
"February 14, 2021",B.1.2,N/A,30,36.144578313%
"February 7, 2021",B.1.2,N/A,19,17.924528302%
"January 31, 2021",B.1.2,N/A,38,21.111111111%
"January 24, 2021",B.1.2,N/A,45,31.914893617%
"January 17, 2021",B.1.2,N/A,42,31.578947368%
"January 10, 2021",B.1.2,N/A,27,33.75%
"January 3, 2021",B.1.2,N/A,74,52.857142857%
